module_variable_name	source_text	target_text	need_translate	
Common.Other.GlobalPrompt.MOUNT_MAX_LEVEL	当前坐骑已满阶满星!	The Mount has reached its highest Stage and Star Level.	0	
Common.Other.GlobalPrompt.MOUNT_PROMPT_1	当前位置不能下坐骑	Can't dismount here.	0	
Common.Other.GlobalPrompt.MOUNT_PROMPT_2	在这里不能骑坐骑	Can't mount here.	0	
Common.Other.GlobalPrompt.MallBuyOk	购买成功	Bought successfully!	0	
Common.Other.GlobalPrompt.MarryAcceptGirl	对方是女性！！！	She’s a woman!	0	
Common.Other.GlobalPrompt.MarryAcceptMarried	你们情深缘浅，#C(#00FF00)%s#n已寻到另一半	#C(#00FF00)%s#n is already married. You don't want to ruin their happiness, do you?	0	
Common.Other.GlobalPrompt.MarryAcceptNotLine	您的爱慕者正好离开了游戏，请等待上线后再同意	The player is offline. Accept later.	0	
Common.Other.GlobalPrompt.MarryAcceptSuccess	接受成功，请耐心等待对方预约婚礼	You've accepted the engagement. Now wait for the wedding.	0	
Common.Other.GlobalPrompt.MarryBeginInform	你与#C(#00EE00)%s#n的婚礼都已经开始了，还在磨蹭什么？#C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))立即进入#n#n#n	Your wedding with #C(#00EE00)%s#n has begun. Enter now! #C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s)) Enter immediately #n#n#n	0	
Common.Other.GlobalPrompt.MarryBeginInformB	#C(#00EE00)%s#n与#C(#FF00CC)%s#n的婚礼正式开始，大家羡慕吧，嫉妒吧！婚礼中新郎新娘将送出大量#C(#FF33CC)新婚礼盒#n，还等什么？有钱的捧个钱场，没钱的捧个人场。#C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))前往参加婚礼#n#n#n	#C(#00EE00)%s#n and #C(#FF00CC)%s#n 's wedding has begun. During the wedding, the bride and groom will give lots of #C(#FF33CC) wedding packs #n. What're you waiting for? Join the celebration! #C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s)) Enter their wedding #n#n#n	0	
Common.Other.GlobalPrompt.MarryCancelDinghun	取消婚约成功	Engagement cancelled.	0	
Common.Other.GlobalPrompt.MarryCancelDinghun_Content	%s觉得您们情深缘浅，无法走完人生的爱情之路，取消了您们的婚约	%s has canceled your Engagement	0	
Common.Other.GlobalPrompt.MarryCancelDinghun_Sender	系统	System	0	
Common.Other.GlobalPrompt.MarryCancelDinghun_Title	【系统】取消婚约	【System】Cancel engagement	0	
Common.Other.GlobalPrompt.MarryDivorceToday	离婚玩家当天无法被求婚，请明日再来	You can’t propose to a player on the day of her divorce. Please do it tomorrow.	0	
Common.Other.GlobalPrompt.MarryDivorce_1	#C(#00EE00)%s#n结束了你们的婚姻，好聚好散，仍是朋友	#C(#00EE00)%s#n has divorced you. You're friends now.	0	
Common.Other.GlobalPrompt.MarryDivorce_2	离婚成功，莫伤心，您还有一大片森林	You’ are divorced now. But hey, plenty of fish in the sea.	0	
Common.Other.GlobalPrompt.MarryFindError	你的伴侣已经超过15天未登录，无法举办派对，请他登录后再举办	Your spouse hasn't logged in for more than 15 days, you can’t hold a Reception.	0	
Common.Other.GlobalPrompt.MarryFinisMail_Content	恭喜你和#C(#00EE00)%s#n完成了终身大事，恭喜你们分别获得了#C(#FF33CC)#Z(%s,%s)#n奖励	Congratulations! You've married #C(#00EE00)%s#n. Both of you have received rewards: #C(#FF33CC)#Z(%s,%s)#n .	0	
Common.Other.GlobalPrompt.MarryFinisMail_Sender	系统	System	0	
Common.Other.GlobalPrompt.MarryFinisMail_Title	【系统】婚礼	【System】Wedding	0	
Common.Other.GlobalPrompt.MarryFinish	婚礼结束，但爱意长存啊	The wedding is finished. But your love will last forever.	0	
Common.Other.GlobalPrompt.MarryGetLibaoCntMax	今日已达最大收益次数，无法继续获得奖励	You've reached today’s rewards limit.	0	
Common.Other.GlobalPrompt.MarryGetLibaoGeren	领取成功： #Z(%s,%s)	Received:  #Z(%s,%s)	0	
Common.Other.GlobalPrompt.MarryGetLibaoWorld	#C(#FFFF00)%s#n以迅雷不及掩耳之势从人群中抢到了新郎#C(#00EE00)%s#n与新娘#C(#00EE00)%s#n赠送的#C(#FF33CC)#Z(%s,%s)#n。#C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))我也去抢#n#n#n	#C(#FFFF00)%s#n has grabbed #C(#FF33CC)#Z(%s,%s)#n that the groom#C(#00EE00)%s#n and bride #C(#00EE00)%s#n offered. #C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))I wanna grab something too! #n#n#n	0	
Common.Other.GlobalPrompt.MarryHandsel_Content	#C(#00EE00)%s#n赠送了一个巨大的结婚红包，祝恋人们同心永结，比翼齐飞啊 	#C(#00EE00)%s#n has given a great wedding pack. May they be always happy! 	0	
Common.Other.GlobalPrompt.MarryHandsel_Sender	系统	System	0	
Common.Other.GlobalPrompt.MarryHandsel_Title	【系统】结婚红包	【System】Wedding pack	0	
Common.Other.GlobalPrompt.MarryInScene_1	已在婚礼场景中，无法直接切换	You're in the wedding, you can't go to another map now.	0	
Common.Other.GlobalPrompt.MarryInScene_2	已在婚礼场景中	You're in the wedding now.	0	
Common.Other.GlobalPrompt.MarryInvite_ContentA	#C(#00EE00)%s#n与#C(#FF00CC)%s#n将于#C(#FFFF00)%s#n日#C(#FFFF00)%s#n时#C(#FFFF00)%s#n分举行#C(#66FF00)普通婚礼#n，大家羡慕吧，嫉妒吧！婚礼中新郎新娘将送出大量#C(#FF33CC)新婚礼盒#n，到时记得来参加他们的婚礼哦。有钱的捧个钱场，没钱的捧个人场。	#C(#00EE00)%s#n and #C(#FF00CC)%s#n will hold their #C(#66FF00) wedding #n at #C(#FFFF00)%s#n : #C(#FFFF00)%s#n, #C(#FFFF00)%s#n. During the wedding, the bride and groom will give out lots of #C(#FF33CC) Wedding packs #n. Remember to attend their wedding!	0	
Common.Other.GlobalPrompt.MarryInvite_ContentB	#C(#00EE00)%s#n与#C(#FF00CC)%s#n将于#C(#FFFF00)%s#n日#C(#FFFF00)%s#n时#C(#FFFF00)%s#n分举行#C(#FF33CC)贵族婚礼#n，大家羡慕吧，嫉妒吧！婚礼中新郎新娘将送出大量#C(#FF33CC)新婚礼盒#n，到时记得来参加他们的婚礼哦。有钱的捧个钱场，没钱的捧个人场。	#C(#00EE00)%s#n and #C(#FF00CC)%s#n will hold their #C(#66FF00) Wedding #n at #C(#FFFF00)%s#n : #C(#FFFF00)%s#n, #C(#FFFF00)%s#n. Don't envy them! During the wedding, the bride and bridegroom will present lots of #C(#FF33CC) Wedding packs #n. Please remember to attend their wedding!	0	
Common.Other.GlobalPrompt.MarryInvite_ContentC	#C(#00EE00)%s#n与#C(#FF00CC)%s#n将于#C(#FFFF00)%s#n日#C(#FFFF00)%s#n时#C(#FFFF00)%s#n分举行#C(#FF6600)皇室婚礼#n，大家羡慕吧，嫉妒吧！婚礼中新郎新娘将送出大量#C(#FF33CC)新婚礼盒#n，到时记得来参加他们的婚礼哦。有钱的捧个钱场，没钱的捧个人场。	#C(#00EE00)%s#n and #C(#FF00CC)%s#n will hold their #C(#66FF00) Royal Wedding #n at #C(#FFFF00)%s#n : #C(#FFFF00)%s#n, #C(#FFFF00)%s#n. During the wedding, the bride and groom will give out lots of #C(#FF33CC) Wedding packs #n. Remember to attend their wedding!	0	
Common.Other.GlobalPrompt.MarryInvite_Sender	系统	System	0	
Common.Other.GlobalPrompt.MarryInvite_Tips	一场幸福美满的婚礼正在进行中，新郎#C(#00EE00)%s#n与新娘#C(#FF00CC)%s#n邀请各位英雄前来捧场。#C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))前往参加婚礼#n#n#n	A wedding is in process. The groom#C(#00EE00)%s#n and bride #C(#FF00CC)%s#n invite all heroes to attend. #C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s)) enter their wedding #n#n#n	0	
Common.Other.GlobalPrompt.MarryInvite_Title	【系统】婚礼邀请	【System】Wedding invitation	0	
Common.Other.GlobalPrompt.MarryIsVow	有人正在宣誓, 请稍后	Someone is saying their vows. Please wait a moment.	0	
Common.Other.GlobalPrompt.MarryNotBegin	婚礼未开始	The wedding hasn't begun yet.	0	
Common.Other.GlobalPrompt.MarryPlayFireworksSystem	#C(#00EE00)%s#n点燃了烟花，这是全服秀恩爱的节奏啊！	#C(#00EE00)%s#n have lighted fireworks to show their love to the world!	0	
Common.Other.GlobalPrompt.MarryProposTooLate	您心仪之人已接受了他人求婚	She’s already married.	0	
Common.Other.GlobalPrompt.MarryProposeQinshou	禽兽，连小学生也不放过	You can’t marry a low level player.	0	
Common.Other.GlobalPrompt.MarryProposeSuccess	您的求婚已成功发送给心仪之人	Your proposal has been sent. Now you wait.	0	
Common.Other.GlobalPrompt.MarryProposeTrueQinshou	真禽兽，连男人你都不放过	Sorry, no same-sex marriage allowed yet.	0	
Common.Other.GlobalPrompt.MarryProposeWait_1	您心仪之人正好离开了游戏，请等待上线后再求婚	The player is offline. You can only propose to online players.	0	
Common.Other.GlobalPrompt.MarryProposeWait_2	您已发送过求婚，让他再考虑一会吧！	Your proposal has been sent. Now you wait.	0	
Common.Other.GlobalPrompt.MarryProposeWait_3	您已发送过求婚，让她再考虑一会吧！	Your proposal has been sent. Now you wait.	0	
Common.Other.GlobalPrompt.MarryRebateMail_Sender	系统	System	0	
Common.Other.GlobalPrompt.MarryRebateMail_Title	【系统】新人回礼	【System】Gift from the newlyweds	0	
Common.Other.GlobalPrompt.MarryRebateTips	新人#C(#00EE00)%s#n收到了#C(#FFFF00)%s#n赠送的#C(#FF6600)新婚贺礼#n，表示非常感谢，立即回赠了对方#Z(%s,%s)	The newlyweds #C(#00EE00)%s#n received from #C(#FFFF00)%s#n a #C(#FF6600) wedding gift#n and sent back #Z(%s,%s) to express their gratitude.	0	
Common.Other.GlobalPrompt.MarryRefusal	#C(#00EE00)%s#n拒绝了你的求婚申请，莫灰心，天涯何处无芳草！	#C(#00EE00)%s#n didn’t accept your proposal. But, hey, plenty of fish in the sea.	0	
Common.Other.GlobalPrompt.MarryReviveHeli	您收到#C(#00EE00)%s#n赠送的结婚贺礼，恭喜恭喜！	#C(#00EE00)%s#n sent you wedding gifts. Congratulations!	0	
Common.Other.GlobalPrompt.MarrySendHeliWorld	#C(#FFFF00)%s#n赠送了新人#C(#00EE00)%s#n与#C(#FF00CC)%s#n#C(#FF6600)新婚贺礼#n，并且送上了祝福：#C(#FFFF00)愿你们真诚的相爱之火，如初升的太阳，越久越旺；让众水也不能熄灭，大水也不能淹没！	#C(#FFFF00)%s#n sent #C(#FF6600) wedding gifts #n to #C(#00EE00)%s#n and #C(#FF00CC)%s#n and sent best wishes: #C(#FF00CC) I hope your love will last forever!#n	0	
Common.Other.GlobalPrompt.MarrySendLibaoWorld	新郎#C(#00EE00)%s#n和新娘#C(#FF00CC)%s#n在婚礼上发放了#C(#00EE00)%s#n个#C(#FF33CC)新婚礼盒#n，数量有限，先到先得。还犹豫什么？#C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s))马上去抢#n#n#n	The groom #C(#00EE00)%s#n and bride #C(#FF00CC)%s#n have sent #C(#00EE00)%s#n #C(#FF33CC) Weeding packs #n. The amount is limited. What're you waiting for? #C(#00ff00)#U#A(#K(ENTER_WED_SCENE,%s)) Grab one now #n#n#n	0	
Common.Other.GlobalPrompt.MarrySuccessBiaobai	表白成功	Love Confessed successfully	0	
Common.Other.GlobalPrompt.MarryThird_1	您已有未婚妻，岂可再找第三者	You're engaged, you can’t propose to other players!	0	
Common.Other.GlobalPrompt.MarryThird_2	您已有未婚夫，岂可再找第三者	You're engaged, you can’t propose to other players!	0	
Common.Other.GlobalPrompt.MarryTooMuchPeople	婚礼内已人满为患，真是热闹非凡啊！	The wedding is full of people! Cool!	0	
Common.Other.GlobalPrompt.MarryUnburden	#C(#00EE00)%s#n对#C(#FF00CC)%s#n深情表白说：#C(#FFFF00)%s#n	#C(#00EE00)%s#n is expressing love to #C(#FF00CC)%s#n:#C(#FFFF00)%s#n	0	
Common.Other.GlobalPrompt.MarryVow	#C(#FFFF00)恭喜#C(#00EE00)%s#n与#C(#FF00CC)%s#n喜结良缘，成为#C(#FF0000)《龙骑士传》#n本服务器第#C(#FF0000)%s#n对夫妻。祝他们海枯石烂，天长地久，龙腾凤翔，笙磬同音！	#C(#FFFF00)Congratulations! #C(#00EE00)%s#n and #C(#FF00CC)%s#n have married. They've become the #C(#FF0000)%s#n couple in the <Legend Knight> server #C(#FF0000)#n. We sincerely wish their love will last forever!	0	
Common.Other.GlobalPrompt.MarryWorldPropose	#C(#E87D22)【深情告白】#C(#00FF00)%s#n#C(#FFFFFF)含情脉脉的望着#n#C(#00FF00)%s#n#C(#FFFFFF)，勇敢的向全世界告白求婚：#C(#00FF00)%s#n	#C(#E87D22)【Vows】#C(#00FF00)%s#n#C(#FFFFFF) is looking at #n#C(#00FF00)%s#n#C(#FFFFFF) and says: #C(#00FF00)%s#n	0	
Common.Other.GlobalPrompt.MarryXuanshiman	新郎#C(#00EE00)%s#n宣誓：#C(#FFFF00)我愿意#C(#FF00CC)%s#n成为我的妻子，从今天开始相互拥有，相互扶持，无论是打怪升级还是PK竞技场、我们都互相帮助，彼此相爱，永不分离。#n	The groom #C(#00EE00)%s#n swears:#C(#FFFF00)I'm willing to marry #C(#FF00CC)%s#n. From now on, we will help each other every possible way in this game. Love is all.	0	
Common.Other.GlobalPrompt.MarryXuanshiwoman	新娘#C(#FF00CC)%s#n宣誓：#C(#FFFF00)我愿意#C(#00EE00)%s#n成为我的丈夫，从今天开始互相拥有，相互扶持，无论是打怪升级还是PK竞技场，我们都互相帮助，彼此相爱，永不分离。#n	The bride #C(#FF00CC)%s#n swears:#C(#FFFF00)I'm willing to marry #C(#00EE00)%s#n. From now on, we will help each other every possible way in this game. Love is all.	0	
Common.Other.GlobalPrompt.Money_Tips	金币 +%s#H	Gold +%s#H	0	
Common.Other.GlobalPrompt.MysteryBox_Msg_Precioud	【%s】#C(#00FF00)%s#n运气爆表，终于抽到了#Z(%s,%s)，可喜可贺！	【%s】Lucky #C(#00FF00)%s#n has obtained #Z(%s,%s). Congratulations!	0	
Common.Other.GlobalPrompt.MysteryBox_Tips_Head	领取成功，恭喜获得:	Congratulations! You received:	0	
Common.Other.GlobalPrompt.NARoleBack_DESC	流失内容	Welcome back, old friends! And thank you for supporting Legend Knight!	0	
Common.Other.GlobalPrompt.NARoleBack_SENDER	系统	System	0	
Common.Other.GlobalPrompt.NARoleBack_TITKE	流失召回	Returning Pack	0	
Common.Other.GlobalPrompt.ND_DailyLiBao_PackageIsFull	背包空间不足，领取失败	Not enough space in the Bag. Use or sell some items.	0	
Common.Other.GlobalPrompt.ND_Exchange_MountExchange	#C(#00FF00)%s#n在#C(#00FF00)#U#A(#K(open_nationaldaypanel,4))节日奖励兑换！#n#n#n中成功兑换获得#Z(%s,%s)，真是太霸气了！	#C(#00FF00)%s#n#C(#00FF00)#U#A(#K(open_nationaldaypanel,4))#n#n#n#Z(%s,%s)	0	
Common.Other.GlobalPrompt.ND_Exchange_PackageIsFull	背包空间不足，无法兑换	Your Bag is full, can't exchange	0	
Common.Other.GlobalPrompt.ND_KILL_MSG	#C(#E87D22)【全民击杀】#n大家在国庆副本的战斗次数已经成功达到了#C(#00FF00)%s#n,大家快去领取全民战斗奖励！#C(#00FF00)#U#A(#K(open_nationaldaygiftpanel))马上领取！	#C(#E87D22)#n#C(#00FF00)%s#n#C(#00FF00)#U#A(#K(open_nationaldaygiftpanel))	0	
Common.Other.GlobalPrompt.ND_StrikeBoss_KillElite	成功击杀%s次精英boss，获得：#H	%s	0	
Common.Other.GlobalPrompt.ND_StrikeBoss_KillNormal	成功击杀%s次普通boss，获得：#H	%s	0	
Common.Other.GlobalPrompt.ND_StrikeBoss_item_ServerTell	#C(#FFFF00)%s#n在#C(#EE7600)【击杀节日boss】#n活动中成功获得#Z(%s,%s)，真是太霸气了！	#C(#FFFF00)%s#n#C(#EE7600)#n#Z(%s,%s)	0	
Common.Other.GlobalPrompt.ND_StrikeBoss_tarot_ServerTell	#C(#FFFF00)%s#n在#C(#EE7600)【击杀节日boss】#n活动中成功获得#t(#K(sTT,%s,%s))，真是太霸气了！	#C(#FFFF00)%s#n#C(#EE7600)#t(#K(sTT,%s,%s))	0	
Common.Other.GlobalPrompt.ND_Tips_DailyLiBao	你成功领取了#Z(%s,%s)	You claimed #Z(%s,%s)	0	
Common.Other.GlobalPrompt.NO_TIMES_FOR_BUY_MSG	今日挖宝次数已用尽，请明日继续。	No more attempts today. Try again tomorrow.	0	
Common.Other.GlobalPrompt.NO_TIMES_FOR_SECRCH_MSG	你已没有剩余的金锄头，今日无法继续挖宝了。	No more Picks today. Come back tomorrow.	0	
Common.Other.GlobalPrompt.NYEARHaoReward_Content	恭喜！您在#C(#E87D22)【2015狂欢派对-狂欢冲冲冲】#n活动中本服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! You ranked No. %s in your sever's #C(#E87D22) [Party Recharge Master]#n event and won great rewards!	0	
Common.Other.GlobalPrompt.NYEARHaoReward_Sender	系统	System	0	
Common.Other.GlobalPrompt.NYEARHaoReward_Title	【2015狂欢派对】本服充值排名奖励	[Party] This server's Recharge Ranking rewards	0	
Common.Other.GlobalPrompt.NYEARHao_Content	恭喜！您在#C(#E87D22)【2015狂欢派对-狂欢冲冲冲】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! You ranked No. %s in the cross-server #C(#E87D22)[Party Recharge Master]#n event and won great rewards!	0	
Common.Other.GlobalPrompt.NYEARHao_Sender	系统	System	0	
Common.Other.GlobalPrompt.NYEARHao_Title	【2015狂欢派对】跨服充值排名奖励	[Party] Cross-server Recharge Ranking rewards	0	
Common.Other.GlobalPrompt.NYEAR_DISCOUNT_REFRESH	已消耗%s积分，刷新成功！	The refresh costed you %s Points.	0	
Common.Other.GlobalPrompt.NYEAR_ONLINE_FREE_TIMES_MSG	2015狂欢派对免费开启宝箱次数+%s#H	Free Chest in Parties +%s#H	0	
Common.Other.GlobalPrompt.NYEAR_ONLINE_REWARD_CARD_MSG	#C(#E87D22)【2015狂欢派对】#n#C(#00ff00)%s#n在2015狂欢派对活动中获得了#L(%s,%s)，真是令人羡慕！#C(#00ff00)#U#A(#K(open_newyear_panel2))前往抽奖！#n#n#n	#C(#E87D22)[Party] #n#C(#00ff00)%s#n has received #L(%s,%s) in Party. Awesome! #C(#00ff00)#U#A(#K(open_newyear_panel2)) Go draw! #n#n#n	0	
Common.Other.GlobalPrompt.NYEAR_ONLINE_REWARD_ITEM_MSG	#C(#E87D22)【2015狂欢派对】#n#C(#00ff00)%s#n在2015狂欢派对活动中获得了#Z(%s,%s)，真是令人羡慕！#C(#00ff00)#U#A(#K(open_newyear_panel2))前往抽奖！#n#n#n	#C(#E87D22)[Party]#n#C(#00ff00)%s#n has received #Z(%s,%s) in Party. Awesome! #C(#00ff00)#U#A(#K(open_newyear_panel2)) Go draw! #n#n#n	0	
Common.Other.GlobalPrompt.NYEAR_ONLINE_REWARD_TAROT_MSG	#C(#E87D22)【2015狂欢派对】#n#C(#00ff00)%s#n在2015狂欢派对活动中获得了#t(#K(sTT,%s,%s))，真是令人羡慕！#C(#00ff00)#U#A(#K(open_newyear_panel2))前往抽奖！#n#n#n	#C(#E87D22)[Party]#n#C(#00ff00)%s#n has received #t(#K(sTT,%s,%s)) in Party. Awesome! #C(#00ff00)#U#A(#K(open_newyear_panel2)) Go draw! #n#n#n	0	
Common.Other.GlobalPrompt.NavicePackEnd	您的等级礼包已经领取完	You have claimed all the Lvl Packs.	0	
Common.Other.GlobalPrompt.NavicePackLessPackage	您的背包空间不足, 无法领取奖励	Your Bag is full, can't claim the rewards.	0	
Common.Other.GlobalPrompt.Not_Enough_RMB	神石不足，不能分解！	Not enough Balens. Failed to recycle!	0	
Common.Other.GlobalPrompt.OldRoleBackFTMailContent1	亲爱的玩家您好，欢迎再次回归《新龙骑士传》与伙伴一同冒险，感谢您对《新龙骑士传》的支持，您的支持就是我们最大的动力。	no need to translate	0	
Common.Other.GlobalPrompt.OldRoleBackFTMailContent2	恭喜你在活动期间完成首次储值，储值金额：%s神石，额外获得%s奖励神石返利，真是好福气啊！	Congratulations! You have Recharged %s Balens for the first time during the event and you've received %s Reward Balens!	0	
Common.Other.GlobalPrompt.OldRoleBackFTMailSender	《新龙骑士传》营运团队	no need to translate	0	
Common.Other.GlobalPrompt.OldRoleBackFTMailTitle1	欢迎再次回归龙骑圣殿	no need to translate	0	
Common.Other.GlobalPrompt.OldRoleBackFTMailTitle2	恭喜你完成回归储值返利	no need to translate	0	
Common.Other.GlobalPrompt.OnLineRewardMsg_Head	恭喜你获得#H	Congratulations! You received #H	0	
Common.Other.GlobalPrompt.OnLineRewardMsg_Money	金币+ %s#H	Gold + %s#H	0	
Common.Other.GlobalPrompt.OnLineRewardMsg_RMB	魔晶+ %s#H	Bound Balens + %s#H	0	
Common.Other.GlobalPrompt.OnLineReward_PackageSize_warning	您的背包空间不足, 无法领取奖励	Your Bag is full, can't claim the rewards.	0	
Common.Other.GlobalPrompt.PET_EVOLUTION_FALSE	太遗憾了，修行失败，下次修行成功率+%s%s，再试一次吧！	Sorry! Training failed. Successful rate has increased %s%s, try again.	0	
Common.Other.GlobalPrompt.PET_EVOLUTION_FULL	当前修行进度已经满了，先去进阶吧！	Training for current level finished, please upgrade.	0	Fortune +%s
Common.Other.GlobalPrompt.PET_EVOLUTION_STAR	宠物星级不足%s星,不能进行宠物修行	Pet stars haven't reached %s, can't train pet.	0	
Common.Other.GlobalPrompt.PET_EVOLUTION_SUC	修行成功，修行进度+%s	Training complete, increased %s.	0	
Common.Other.GlobalPrompt.PET_FAST_TRAIN_PROMPT	培养%s次，成功%s次，失败%s次	Trained %s times. Succeeded %s times. Failed %s times.	0	
Common.Other.GlobalPrompt.PET_ITEM_NOT_EVO	没有对应阶数的宠物，无法使用！	There are no Pets of this level. You can't use this item!	0	
Common.Other.GlobalPrompt.PET_ITEM_NOT_STAR	没有对应星级的宠物，无法使用！	There are no Pets of this Star Level. You can't use this item!	0	
Common.Other.GlobalPrompt.PET_ITEM_USE_SUC	使用成功	Used successfully	0	
Common.Other.GlobalPrompt.PET_LIBAO_USE_MSG	使用成功：获得%s	Opened! You receive: %s	0	
Common.Other.GlobalPrompt.PET_LUCKY_DRAW_REWARD_PROMPT	恭喜获得： #Z(%s,%s)	Received: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.PET_ONEKEY_EVOLUTION_SUC	修行%s次，修行进度+%s	Train %s times and increase Training progress by %s.	0	
Common.Other.GlobalPrompt.PET_RMB_NOT_ENOUGH_PROMPT	神石不足	Not enough Balens!	0	
Common.Other.GlobalPrompt.PET_SOUL_OFF_SUCCESS_PROMPT	卸载成功	Unequipped successfully!	0	
Common.Other.GlobalPrompt.PET_SOUL_ON_SUCCESS_PROMPT	附灵成功	Mounted successfully!	0	
Common.Other.GlobalPrompt.PET_SOUL_UPGRADE_SUCCESS_PROMPT	升级成功	Upgraded	0	
Common.Other.GlobalPrompt.PET_TRAIN_FAIL_PROMPT	培养失败，幸运值增加	Training failed, Luck Value increased.	0	
Common.Other.GlobalPrompt.PET_TRAIN_SUCCESS_PROMPT	培养成功，属性提升%s	Trained successfully. Stats boost by %s.	0	
Common.Other.GlobalPrompt.PackageFullTitle	由于您的背包已满	Your Bag is full.	0	
Common.Other.GlobalPrompt.PackageIsFull_Tips	背包剩余空间不足！	Your Bag is full.	0	
Common.Other.GlobalPrompt.PackageIsFull_Tips2	背包空间不足，请先清理背包！	Not enough space in the Bag! Make some room first.	0	
Common.Other.GlobalPrompt.PackagePasswd_ClearPasswdOkay	您已经申请了清除加密锁，将于%s天%s小时%s分钟后生效，届时您可以重新设置加密锁	Your request to disable the item lock will be cancelled after %s day(s) %s hour(s) %s minute(s). Then, you will have to set a new password.	0	
Common.Other.GlobalPrompt.PackagePasswd_ClearPasswdRequest	您当前已经申请清除加密锁，请耐心等待7天后系统清除加密锁。	You requested to disable the item lock. It will be disabled in 7 days.	0	
Common.Other.GlobalPrompt.PackagePasswd_ClearPasswdSuccess	清除加密锁成功	Item lock cleared.	0	
Common.Other.GlobalPrompt.PackagePasswd_PasswdCleanning	清除密码中，清除密码后可重新设置密码	Password deleted. You'll be able to set a new password again when the process is complete.	0	
Common.Other.GlobalPrompt.PackagePasswd_ResetPasswdFailed	原始密码不正确，无法修改密码。	Original password incorrect! Failed to change the password.	0	
Common.Other.GlobalPrompt.PackagePasswd_ResetPasswdOkay	您的加密锁修改成功，重新登录后做危险操作将需输入新的加密锁解锁，如果您忘记密码，请使用“清除加密锁”功能。	Password changed. You must enter the password if you do any advanced operations from now on. Please, use the "disable item lock" function if you forget the password.	0	
Common.Other.GlobalPrompt.PackagePasswd_ResetPasswdUnnecessary	您当前并未设置加密锁，无需修改密码。	It is not neccesary to change the password if you haven't set the lock.	0	
Common.Other.GlobalPrompt.PackagePasswd_SetPasswdFailed	您已经设置了加密锁，无需再次设置，若需要修改密码请选择修改加密锁。	You enabled the item lock. If you want to change your password, please click Change Password.	0	
Common.Other.GlobalPrompt.PackagePasswd_SetPasswdOkay	您的加密锁设置成功，重新登录后做高级操作将需输入加密锁解锁，如果您要重新修改加密锁，可以选择“修改密码”。	Item lock enabled. You'll have to enter the password when you try to do any advanced operations next time you log in. You can click Change Password to change the password.	0	
Common.Other.GlobalPrompt.PackagePasswd_UnlockFailedTip	很抱歉，您输入的密码错误，建议您再想想！如果实在想不起来，您可以选择清除加密锁后重新设置，但是那样您将需要耐心等待7天！	Password incorrect. If you don't remember yous password, disable the item lock and reset the password. You'll nedd to wait 7 days for this operation.	0	
Common.Other.GlobalPrompt.PackagePasswd_UnlockOkayTip	您已经成功解锁，本次登录中您可以进行其他相关高级操作了（下线或者顶号需重新输入）。	You opened the lock. You can do advanced operations (You will need to enter the password again next time if you log out or are forced to exit).	0	
Common.Other.GlobalPrompt.PartyAuctionFailContent	您的跨服派对竞价已被#C(#00EE00)%s#n竞价超越，导致跨服派对竞拍失败，您竞价的跨服币原额返还，请查收附件！	Your Cross-server Party bidding has been surpassed by #C(#00EE00)%s#n Please check the attached refunded Cross-server Coins!	0	
Common.Other.GlobalPrompt.PartyAuctionFailContent_2	您与您的伴侣在跨服派对中以最高竞价打败各路富豪，获得今日跨服派对资格，但是由于您在举办派对之前意外离婚，我们只能遗憾的通知您：今日的跨服派对将取消举办，您的跨服派对竞拍费用也不能获得返还！	You and your partner beat the Cross-server Party bid and got the right to host Today's Cross-server Party. But since you divorced right before hosting the party, we have to inform you that Today's Cross-server Party has been canceled and the bidding fee will not be returned!	0	
Common.Other.GlobalPrompt.PartyAuctionFailTitle	跨服竞价失败	Bid failed	0	
Common.Other.GlobalPrompt.PartyAuctionFailTitle_2	跨服派对开启失败	Failed to open the Cross-server Party	0	
Common.Other.GlobalPrompt.PartyAuctionRumor	#C(#E87D22)【跨服派对】#n#C(#FFFF00)我们的恩爱，在跨服盛开，让全世界都知道我们的爱！！！#n跨服派对正在火热进行中，您还在等什么，快去竞拍您们的情深似海吧！！#C(#00ff00)#U#A(#K(ENTER_KFPARTY_JP))我要竞拍#n#n#n	#C(#E87D22)[Cross-server Party]#n#C(#FFFF00)The world will know how much we love each other in all Servers!!! #n The Cross-server party has begun. What are you waiting for? Go bid for it!!#C(#00ff00)#U#A(#K(ENTER_KFPARTY_JP))I want to bid #n#n#n	0	
Common.Other.GlobalPrompt.PartyAuctionSender	系统	System	0	
