world_level	silver_rate	gold_rate	silver_reward_preview	gold_reward_preview
112	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
113	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
114	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
115	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
116	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
117	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
118	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
119	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
120	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
121	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
122	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
123	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
124	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
125	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
126	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
127	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
128	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
129	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
130	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
131	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
132	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
133	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
134	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
135	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
136	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
137	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
138	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
139	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
140	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
141	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
142	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
143	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
144	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
145	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
146	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
147	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
148	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
149	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
150	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
151	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
152	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
153	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
154	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
155	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
156	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
157	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
158	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
159	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
160	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
161	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(152,5),(153,25),(124,25),(125,25),(126,25),(127,950),(128,360),(129,220),(130,400),(131,1150),(132,180),(133,360),(134,900),(135,850),(136,810),(137,1050),(138,655),(139,360),(140,180),(141,250),(142,250),(143,250),(144,250),(145,250),(146,250),(147,320),(148,160),(149,50),(150,150),(151,30)]	[1,2,4,5,7,8,11,13,14]	[152,153,124,125,126,149,151,135,136]
