subTaskIndex	needTaskIndex	needLevel	rewardExp	rewardMoney	rewardBindRMB	rewardItems	taskType	taskParam	taskParamWhat	TaskGuide	taskWhat	khdtaskName1	desc1	khdtaskName2	desc2	ChuFa1	ChuFa2
90	89	83	10000	0	0	0	3	(66,0)			     #C(#FFFF00)放哨黑手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【83级】放哨黑手#n（未完成）	     通关副本#C(#FFFF00)放哨黑手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【83级】放哨黑手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)放哨黑手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,90)
91	90	84	10000	0	0	0	3	(67,0)			     #C(#FFFF00)夺命灵手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【84级】夺命灵手#n（未完成）	     通关副本#C(#FFFF00)夺命灵手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【84级】夺命灵手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)夺命灵手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,91)
92	91	85	10000	0	0	0	3	(68,0)			     #C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【85级】绝美艳后#n（未完成）	     通关副本#C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【85级】绝美艳后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)绝美艳后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,92)
93	92	86	10000	0	0	0	3	(69,0)			     #C(#FFFF00)战斗骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【86级】战斗骑士#n（未完成）	     通关副本#C(#FFFF00)战斗骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【86级】战斗骑士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)战斗骑士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,93)
94	93	87	10000	0	0	0	3	(70,0)			     #C(#FFFF00)刀郎士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【87级】刀郎士#n（未完成）	     通关副本#C(#FFFF00)刀郎士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【87级】刀郎士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)刀郎士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,94)
95	94	88	10000	0	0	0	3	(71,0)			     #C(#FFFF00)战争之王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【88级】战争之王#n（未完成）	     通关副本#C(#FFFF00)战争之王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【88级】战争之王#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)战争之王#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,95)
96	95	89	10000	0	0	0	3	(72,0)			     #C(#FFFF00)媚祭祀#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【89级】媚祭祀#n（未完成）	     通关副本#C(#FFFF00)媚祭祀#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【89级】媚祭祀#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)媚祭祀#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,96)
97	96	90	10000	0	0	0	3	(73,0)			     #C(#FFFF00)杖魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【90级】杖魔导#n（未完成）	     通关副本#C(#FFFF00)杖魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【90级】杖魔导#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)杖魔导#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,97)
98	97	91	10000	0	0	0	3	(74,0)			     #C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【91级】天空射手#n（未完成）	     通关副本#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【91级】天空射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)天空射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,98)
99	98	92	10000	0	0	0	3	(75,0)			     #C(#FFFF00)前锋士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【92级】前锋士兵#n（未完成）	     通关副本#C(#FFFF00)前锋士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【92级】前锋士兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)前锋士兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,99)
100	99	93	10000	0	0	0	3	(76,0)			     #C(#FFFF00)梦祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【93级】梦祭司#n（未完成）	     通关副本#C(#FFFF00)梦祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【93级】梦祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)梦祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,100)
101	100	94	10000	0	0	0	3	(77,0)			     #C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【94级】太阳神#n（未完成）	     通关副本#C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【94级】太阳神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)太阳神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,101)
102	101	95	10000	0	0	0	3	(78,0)			     #C(#FFFF00)天贤法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【95级】天贤法师#n（未完成）	     通关副本#C(#FFFF00)天贤法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【95级】天贤法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)天贤法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,102)
103	102	96	10000	0	0	0	3	(79,0)			     #C(#FFFF00)幻天死神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【96级】幻天死神#n（未完成）	     通关副本#C(#FFFF00)幻天死神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【96级】幻天死神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)幻天死神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,103)
104	103	97	10000	0	0	0	3	(80,0)			     #C(#FFFF00)烈焰女神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【97级】烈焰女神#n（未完成）	     通关副本#C(#FFFF00)烈焰女神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【97级】烈焰女神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)烈焰女神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,104)
105	104	98	10000	0	0	0	3	(81,0)			     #C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【98级】钢铁守卫#n（未完成）	     通关副本#C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【98级】钢铁守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)钢铁守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,105)
106	105	99	10000	0	0	0	3	(82,0)			     #C(#FFFF00)审判天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【99级】审判天使#n（未完成）	     通关副本#C(#FFFF00)审判天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【99级】审判天使#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判天使#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,106)
107	106	100	18888	0	0	0	3	(83,0)			     #C(#FFFF00)失职甲兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【100级】失职甲兵#n（未完成）	     通关副本#C(#FFFF00)失职甲兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【100级】失职甲兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)失职甲兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,107)
108	107	101	18888	0	0	0	3	(84,0)			     #C(#FFFF00)潜逃铁卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【101级】潜逃铁卫#n（未完成）	     通关副本#C(#FFFF00)潜逃铁卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【101级】潜逃铁卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)潜逃铁卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,108)
109	108	102	18888	0	0	0	3	(85,0)			     #C(#FFFF00)玲珑魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【102级】玲珑魔导#n（未完成）	     通关副本#C(#FFFF00)玲珑魔导#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【102级】玲珑魔导#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)玲珑魔导#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,109)
110	109	103	18888	0	0	0	3	(86,0)			     #C(#FFFF00)正义天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【103级】正义天使#n（未完成）	     通关副本#C(#FFFF00)正义天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【103级】正义天使#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)正义天使#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,110)
111	110	104	18888	0	0	0	3	(87,0)			     #C(#FFFF00)执法队员#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【104级】执法队员#n（未完成）	     通关副本#C(#FFFF00)执法队员#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【104级】执法队员#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)执法队员#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,111)
112	111	105	18888	0	0	0	3	(88,0)			     #C(#FFFF00)城中队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【105级】城中队长#n（未完成）	     通关副本#C(#FFFF00)城中队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【105级】城中队长#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)城中队长#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,112)
113	112	106	18888	0	0	0	3	(89,0)			     #C(#FFFF00)城管守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【106级】城管守卫#n（未完成）	     通关副本#C(#FFFF00)城管守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【106级】城管守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)城管守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,113)
114	113	107	18888	0	0	0	3	(90,0)			     #C(#FFFF00)刀锋士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【107级】刀锋士兵#n（未完成）	     通关副本#C(#FFFF00)刀锋士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【107级】刀锋士兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)刀锋士兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,114)
115	114	108	18888	0	0	0	3	(91,0)			     #C(#FFFF00)索菲亚#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【108级】索菲亚#n（未完成）	     通关副本#C(#FFFF00)索菲亚#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【108级】索菲亚#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)索菲亚#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,115)
116	115	109	18888	0	0	0	3	(92,0)			     #C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【109级】圣光祭司#n（未完成）	     通关副本#C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【109级】圣光祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,116)
117	116	110	18888	0	0	0	3	(93,0)			     #C(#FFFF00)离魂护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【110级】离魂护卫#n（未完成）	     通关副本#C(#FFFF00)离魂护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【110级】离魂护卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)离魂护卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,117)
118	117	111	18888	0	0	0	3	(94,0)			     #C(#FFFF00)梦魇天后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【111级】梦魇天后#n（未完成）	     通关副本#C(#FFFF00)梦魇天后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【111级】梦魇天后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)梦魇天后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,118)
119	118	112	18888	0	0	0	3	(95,0)			     #C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【112级】太阳神#n（未完成）	     通关副本#C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【112级】太阳神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)太阳神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,119)
120	119	113	18888	0	0	0	3	(96,0)			     #C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【113级】审判之箭#n（未完成）	     通关副本#C(#FFFF00)审判之箭#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【113级】审判之箭#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判之箭#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,120)
121	120	114	18888	0	0	0	3	(97,0)			     #C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【114级】红衣祭司#n（未完成）	     通关副本#C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【114级】红衣祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红衣祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,121)
122	121	115	18888	0	0	0	3	(98,0)			     #C(#FFFF00)阿精#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【115级】阿精#n（未完成）	     通关副本#C(#FFFF00)阿精#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【115级】阿精#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)阿精#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,122)
123	122	116	18888	0	0	0	3	(99,0)			     #C(#FFFF00)阿细#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【116级】阿细#n（未完成）	     通关副本#C(#FFFF00)阿细#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【116级】阿细#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)阿细#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,123)
124	123	117	18888	0	0	0	3	(100,0)			     #C(#FFFF00)城管守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【117级】城管守卫#n（未完成）	     通关副本#C(#FFFF00)城管守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【117级】城管守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)城管守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,124)
125	124	118	18888	0	0	0	3	(101,0)			     #C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【118级】钢铁守卫#n（未完成）	     通关副本#C(#FFFF00)钢铁守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【118级】钢铁守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)钢铁守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,125)
126	125	119	18888	0	0	0	3	(102,0)			     #C(#FFFF00)寒冰女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【119级】寒冰女巫#n（未完成）	     通关副本#C(#FFFF00)寒冰女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【119级】寒冰女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)寒冰女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,126)
127	0	120	18888	0	0	0	3	(103,0)			     #C(#FFFF00)小龙人#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【120级】小龙人#n（未完成）	     通关副本#C(#FFFF00)小龙人#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【120级】小龙人#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)小龙人#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,127)
128	127	121	18888	0	0	0	3	(104,0)			     #C(#FFFF00)龙兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【121级】龙兵#n（未完成）	     通关副本#C(#FFFF00)龙兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【121级】龙兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,128)
129	128	122	18888	0	0	0	3	(105,0)			     #C(#FFFF00)寒冰女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【122级】寒冰女巫#n（未完成）	     通关副本#C(#FFFF00)寒冰女巫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【122级】寒冰女巫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)寒冰女巫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,129)
130	129	123	18888	0	0	0	3	(106,0)			     #C(#FFFF00)龙总管#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【123级】龙总管#n（未完成）	     通关副本#C(#FFFF00)龙总管#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【123级】龙总管#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙总管#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,130)
131	130	124	18888	0	0	0	3	(107,0)			     #C(#FFFF00)龙弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【124级】龙弓手#n（未完成）	     通关副本#C(#FFFF00)龙弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【124级】龙弓手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙弓手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,131)
132	131	125	18888	0	0	0	3	(108,0)			     #C(#FFFF00)审判天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【125级】审判天使#n（未完成）	     通关副本#C(#FFFF00)审判天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【125级】审判天使#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)审判天使#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,132)
133	132	126	18888	0	0	0	3	(109,0)			     #C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【126级】红衣祭司#n（未完成）	     通关副本#C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【126级】红衣祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红衣祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,133)
134	133	127	18888	0	0	0	3	(110,0)			     #C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【127级】天空射手#n（未完成）	     通关副本#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【127级】天空射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)天空射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,134)
135	134	128	18888	0	0	0	3	(111,0)			     #C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【128级】圣辉护卫#n（未完成）	     通关副本#C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【128级】圣辉护卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣辉护卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,135)
136	135	129	18888	0	0	0	3	(112,0)			     #C(#FFFF00)哈雷#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【129级】哈雷#n（未完成）	     通关副本#C(#FFFF00)哈雷#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【129级】哈雷#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)哈雷#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,136)
